reduction, algorithm, length, rbits, round, size, number of strongly connected componentes, scc nr., scc size
mid, MD5, 12, 4, 2, 4096, 1, 1, 4096
mid, MD5, 14, 0, 223, 201, 10, 1, 1
mid, MD5, 14, 0, 223, 201, 10, 2, 2
mid, MD5, 14, 0, 223, 201, 10, 3, 3
mid, MD5, 14, 0, 223, 201, 10, 4, 4
mid, MD5, 14, 0, 223, 201, 10, 5, 5
mid, MD5, 14, 0, 223, 201, 10, 6, 5
mid, MD5, 14, 0, 223, 201, 10, 7, 11
mid, MD5, 14, 0, 223, 201, 10, 8, 33
mid, MD5, 14, 0, 223, 201, 10, 9, 41
mid, MD5, 14, 0, 223, 201, 10, 10, 96
mid, MD5, 14, 1, 11, 11016, 7, 1, 1
mid, MD5, 14, 1, 11, 11016, 7, 2, 1
mid, MD5, 14, 1, 11, 11016, 7, 3, 1
mid, MD5, 14, 1, 11, 11016, 7, 4, 1
mid, MD5, 14, 1, 11, 11016, 7, 5, 2
mid, MD5, 14, 1, 11, 11016, 7, 6, 3
mid, MD5, 14, 1, 11, 11016, 7, 7, 11007
mid, MD5, 14, 2, 5, 15219, 1, 1, 15219
mid, MD5, 14, 3, 3, 16318, 1, 1, 16318
mid, MD5, 14, 4, 2, 16383, 1, 1, 16383
mid, SHA-1, 10, 0, 41, 84, 6, 1, 1
mid, SHA-1, 10, 0, 41, 84, 6, 2, 2
mid, SHA-1, 10, 0, 41, 84, 6, 3, 2
mid, SHA-1, 10, 0, 41, 84, 6, 4, 3
mid, SHA-1, 10, 0, 41, 84, 6, 5, 6
mid, SHA-1, 10, 0, 41, 84, 6, 6, 70
mid, SHA-1, 10, 1, 8, 717, 1, 1, 717
mid, SHA-1, 10, 2, 3, 941, 1, 1, 941
mid, SHA-1, 10, 3, 2, 1018, 1, 1, 1018
mid, SHA-1, 10, 4, 2, 1024, 1, 1, 1024
mid, SHA-1, 12, 0, 88, 149, 8, 1, 1
mid, SHA-1, 12, 0, 88, 149, 8, 2, 1
mid, SHA-1, 12, 0, 88, 149, 8, 3, 1
mid, SHA-1, 12, 0, 88, 149, 8, 4, 3
mid, SHA-1, 12, 0, 88, 149, 8, 5, 14
mid, SHA-1, 12, 0, 88, 149, 8, 6, 21
mid, SHA-1, 12, 0, 88, 149, 8, 7, 27
mid, SHA-1, 12, 0, 88, 149, 8, 8, 81
mid, SHA-1, 12, 1, 9, 2743, 1, 1, 2743
mid, SHA-1, 12, 2, 4, 3805, 1, 1, 3805
mid, SHA-1, 12, 3, 2, 4076, 1, 1, 4076
mid, SHA-1, 12, 4, 2, 4096, 1, 1, 4096
mid, SHA-1, 14, 0, 209, 80, 6, 1, 3
mid, SHA-1, 14, 0, 209, 80, 6, 2, 4
mid, SHA-1, 14, 0, 209, 80, 6, 3, 7
mid, SHA-1, 14, 0, 209, 80, 6, 4, 7
mid, SHA-1, 14, 0, 209, 80, 6, 5, 9
mid, SHA-1, 14, 0, 209, 80, 6, 6, 50
mid, SHA-1, 14, 1, 10, 11086, 1, 1, 11086
mid, SHA-1, 14, 2, 4, 15204, 1, 1, 15204
mid, SHA-1, 14, 3, 3, 16310, 1, 1, 16310
mid, SHA-1, 14, 4, 2, 16384, 1, 1, 16384
mid, SHA256, 10, 0, 87, 17, 4, 1, 1
mid, SHA256, 10, 0, 87, 17, 4, 2, 1
mid, SHA256, 10, 0, 87, 17, 4, 3, 1
mid, SHA256, 10, 0, 87, 17, 4, 4, 14
mid, SHA256, 10, 1, 6, 708, 3, 1, 1
mid, SHA256, 10, 1, 6, 708, 3, 2, 1
mid, SHA256, 10, 1, 6, 708, 3, 3, 706
mid, SHA256, 10, 2, 4, 954, 1, 1, 954
mid, SHA256, 10, 3, 2, 1021, 1, 1, 1021
mid, SHA256, 10, 4, 2, 1024, 1, 1, 1024
mid, SHA256, 12, 0, 146, 48, 4, 1, 1
mid, SHA256, 12, 0, 146, 48, 4, 2, 1
mid, SHA256, 12, 0, 146, 48, 4, 3, 5
mid, SHA256, 12, 0, 146, 48, 4, 4, 41
mid, SHA256, 12, 1, 10, 2777, 1, 1, 2777
mid, SHA256, 12, 2, 5, 3818, 1, 1, 3818
mid, SHA256, 12, 3, 2, 4082, 1, 1, 4082
mid, SHA256, 12, 4, 2, 4096, 1, 1, 4096
mid, SHA256, 14, 0, 237, 55, 4, 1, 1
mid, SHA256, 14, 0, 237, 55, 4, 2, 9
mid, SHA256, 14, 0, 237, 55, 4, 3, 20
mid, SHA256, 14, 0, 237, 55, 4, 4, 25
mid, SHA256, 14, 1, 13, 11058, 2, 1, 1
mid, SHA256, 14, 1, 13, 11058, 2, 2, 11057
mid, SHA256, 14, 2, 5, 15172, 1, 1, 15172
mid, SHA256, 14, 3, 3, 16306, 1, 1, 16306
mid, SHA256, 14, 4, 2, 16382, 1, 1, 16382
start, BLAKE256, 10, 0, 72, 15, 4, 1, 1
start, BLAKE256, 10, 0, 72, 15, 4, 2, 2
start, BLAKE256, 10, 0, 72, 15, 4, 3, 5
start, BLAKE256, 10, 0, 72, 15, 4, 4, 7
start, BLAKE256, 10, 1, 6, 715, 1, 1, 715
start, BLAKE256, 10, 2, 5, 942, 1, 1, 942
start, BLAKE256, 10, 3, 2, 1020, 1, 1, 1020
start, BLAKE256, 10, 4, 2, 1024, 1, 1, 1024
start, BLAKE256, 12, 0, 113, 63, 7, 1, 1
start, BLAKE256, 12, 0, 113, 63, 7, 2, 1
start, BLAKE256, 12, 0, 113, 63, 7, 3, 1
start, BLAKE256, 12, 0, 113, 63, 7, 4, 13
start, BLAKE256, 12, 0, 113, 63, 7, 5, 15
start, BLAKE256, 12, 0, 113, 63, 7, 6, 16
start, BLAKE256, 12, 0, 113, 63, 7, 7, 16
start, BLAKE256, 12, 1, 8, 2861, 1, 1, 2861
start, BLAKE256, 12, 2, 4, 3811, 1, 1, 3811
start, BLAKE256, 12, 3, 2, 4076, 1, 1, 4076
start, BLAKE256, 12, 4, 2, 4096, 1, 1, 4096
start, BLAKE256, 14, 0, 366, 114, 9, 1, 1
start, BLAKE256, 14, 0, 366, 114, 9, 2, 1
start, BLAKE256, 14, 0, 366, 114, 9, 3, 2
start, BLAKE256, 14, 0, 366, 114, 9, 4, 2
start, BLAKE256, 14, 0, 366, 114, 9, 5, 3
start, BLAKE256, 14, 0, 366, 114, 9, 6, 4
start, BLAKE256, 14, 0, 366, 114, 9, 7, 31
start, BLAKE256, 14, 0, 366, 114, 9, 8, 35
start, BLAKE256, 14, 0, 366, 114, 9, 9, 35
start, BLAKE256, 14, 1, 9, 11087, 2, 1, 2
start, BLAKE256, 14, 1, 9, 11087, 2, 2, 11085
start, BLAKE256, 14, 2, 5, 15158, 1, 1, 15158
start, BLAKE256, 14, 3, 2, 16311, 1, 1, 16311
start, BLAKE256, 14, 4, 2, 16383, 1, 1, 16383
start, Groestl256, 10, 0, 52, 39, 5, 1, 1
start, Groestl256, 10, 0, 52, 39, 5, 2, 2
start, Groestl256, 10, 0, 52, 39, 5, 3, 3
start, Groestl256, 10, 0, 52, 39, 5, 4, 15
start, Groestl256, 10, 0, 52, 39, 5, 5, 18
start, Groestl256, 10, 1, 8, 720, 1, 1, 720
start, Groestl256, 10, 2, 3, 954, 1, 1, 954
start, Groestl256, 10, 3, 2, 1017, 1, 1, 1017
start, Groestl256, 10, 4, 2, 1024, 1, 1, 1024
start, Groestl256, 12, 0, 149, 152, 4, 1, 1
start, Groestl256, 12, 0, 149, 152, 4, 2, 1
start, Groestl256, 12, 0, 149, 152, 4, 3, 1
start, Groestl256, 12, 0, 149, 152, 4, 4, 149
start, Groestl256, 12, 1, 8, 2785, 2, 1, 1
start, Groestl256, 12, 1, 8, 2785, 2, 2, 2784
start, Groestl256, 12, 2, 4, 3812, 2, 1, 1
start, Groestl256, 12, 2, 4, 3812, 2, 2, 3811
start, Groestl256, 12, 3, 2, 4086, 1, 1, 4086
start, Groestl256, 12, 4, 2, 4096, 1, 1, 4096
start, Groestl256, 14, 0, 246, 127, 7, 1, 1
start, Groestl256, 14, 0, 246, 127, 7, 2, 1
start, Groestl256, 14, 0, 246, 127, 7, 3, 1
start, Groestl256, 14, 0, 246, 127, 7, 4, 5
start, Groestl256, 14, 0, 246, 127, 7, 5, 7
start, Groestl256, 14, 0, 246, 127, 7, 6, 37
start, Groestl256, 14, 0, 246, 127, 7, 7, 75
start, Groestl256, 14, 1, 12, 11060, 2, 1, 1
start, Groestl256, 14, 1, 12, 11060, 2, 2, 11059
start, Groestl256, 14, 2, 6, 15228, 1, 1, 15228
start, Groestl256, 14, 3, 3, 16316, 1, 1, 16316
start, Groestl256, 14, 4, 2, 16384, 1, 1, 16384
start, JH256, 10, 0, 40, 66, 6, 1, 1
start, JH256, 10, 0, 40, 66, 6, 2, 1
start, JH256, 10, 0, 40, 66, 6, 3, 2
start, JH256, 10, 0, 40, 66, 6, 4, 2
start, JH256, 10, 0, 40, 66, 6, 5, 7
start, JH256, 10, 0, 40, 66, 6, 6, 53
start, JH256, 10, 1, 10, 704, 4, 1, 1
start, JH256, 10, 1, 10, 704, 4, 2, 1
start, JH256, 10, 1, 10, 704, 4, 3, 1
start, JH256, 10, 1, 10, 704, 4, 4, 701
start, JH256, 10, 2, 4, 968, 1, 1, 968
start, JH256, 10, 3, 2, 1022, 1, 1, 1022
start, JH256, 10, 4, 2, 1024, 1, 1, 1024
start, JH256, 12, 0, 116, 65, 6, 1, 1
start, JH256, 12, 0, 116, 65, 6, 2, 2
start, JH256, 12, 0, 116, 65, 6, 3, 2
start, JH256, 12, 0, 116, 65, 6, 4, 2
start, JH256, 12, 0, 116, 65, 6, 5, 24
start, JH256, 12, 0, 116, 65, 6, 6, 34
start, JH256, 12, 1, 8, 2732, 1, 1, 2732
start, JH256, 12, 2, 5, 3778, 1, 1, 3778
start, JH256, 12, 3, 3, 4068, 1, 1, 4068
start, JH256, 12, 4, 2, 4096, 1, 1, 4096
start, JH256, 14, 0, 255, 48, 4, 1, 1
start, JH256, 14, 0, 255, 48, 4, 2, 4
start, JH256, 14, 0, 255, 48, 4, 3, 6
start, JH256, 14, 0, 255, 48, 4, 4, 37
start, JH256, 14, 1, 8, 11004, 1, 1, 11004
start, JH256, 14, 2, 7, 15115, 1, 1, 15115
start, JH256, 14, 3, 3, 16303, 1, 1, 16303
start, JH256, 14, 4, 2, 16384, 1, 1, 16384
start, KECCAK256, 10, 0, 32, 57, 5, 1, 1
start, KECCAK256, 10, 0, 32, 57, 5, 2, 1
start, KECCAK256, 10, 0, 32, 57, 5, 3, 5
start, KECCAK256, 10, 0, 32, 57, 5, 4, 22
start, KECCAK256, 10, 0, 32, 57, 5, 5, 28
start, KECCAK256, 10, 1, 7, 712, 1, 1, 712
start, KECCAK256, 10, 2, 3, 957, 1, 1, 957
start, KECCAK256, 10, 3, 2, 1019, 1, 1, 1019
start, KECCAK256, 10, 4, 2, 1024, 1, 1, 1024
start, KECCAK256, 12, 0, 102, 97, 2, 1, 3
start, KECCAK256, 12, 0, 102, 97, 2, 2, 94
start, KECCAK256, 12, 1, 9, 2800, 2, 1, 1
start, KECCAK256, 12, 1, 9, 2800, 2, 2, 2799
start, KECCAK256, 12, 2, 4, 3786, 1, 1, 3786
start, KECCAK256, 12, 3, 3, 4076, 1, 1, 4076
start, KECCAK256, 12, 4, 2, 4096, 1, 1, 4096
start, KECCAK256, 14, 0, 158, 181, 8, 1, 1
start, KECCAK256, 14, 0, 158, 181, 8, 2, 1
start, KECCAK256, 14, 0, 158, 181, 8, 3, 1
start, KECCAK256, 14, 0, 158, 181, 8, 4, 5
start, KECCAK256, 14, 0, 158, 181, 8, 5, 11
start, KECCAK256, 14, 0, 158, 181, 8, 6, 25
start, KECCAK256, 14, 0, 158, 181, 8, 7, 30
start, KECCAK256, 14, 0, 158, 181, 8, 8, 107
start, KECCAK256, 14, 1, 11, 10894, 4, 1, 1
start, KECCAK256, 14, 1, 11, 10894, 4, 2, 1
start, KECCAK256, 14, 1, 11, 10894, 4, 3, 1
start, KECCAK256, 14, 1, 11, 10894, 4, 4, 10891
start, KECCAK256, 14, 2, 5, 15127, 1, 1, 15127
start, KECCAK256, 14, 3, 3, 16309, 1, 1, 16309
start, KECCAK256, 14, 4, 2, 16383, 1, 1, 16383
start, RIPEMD160, 10, 0, 42, 26, 3, 1, 1
start, RIPEMD160, 10, 0, 42, 26, 3, 2, 6
start, RIPEMD160, 10, 0, 42, 26, 3, 3, 19
start, RIPEMD160, 10, 1, 9, 692, 1, 1, 692
start, RIPEMD160, 10, 2, 3, 952, 1, 1, 952
start, RIPEMD160, 10, 3, 2, 1018, 1, 1, 1018
start, RIPEMD160, 10, 4, 2, 1023, 1, 1, 1023
start, RIPEMD160, 12, 0, 118, 56, 5, 1, 1
start, RIPEMD160, 12, 0, 118, 56, 5, 2, 4
start, RIPEMD160, 12, 0, 118, 56, 5, 3, 7
start, RIPEMD160, 12, 0, 118, 56, 5, 4, 20
start, RIPEMD160, 12, 0, 118, 56, 5, 5, 24
start, RIPEMD160, 12, 1, 9, 2780, 1, 1, 2780
start, RIPEMD160, 12, 2, 5, 3824, 1, 1, 3824
start, RIPEMD160, 12, 3, 2, 4072, 1, 1, 4072
start, RIPEMD160, 12, 4, 2, 4096, 1, 1, 4096
start, RIPEMD160, 14, 0, 276, 152, 4, 1, 2
start, RIPEMD160, 14, 0, 276, 152, 4, 2, 5
start, RIPEMD160, 14, 0, 276, 152, 4, 3, 11
start, RIPEMD160, 14, 0, 276, 152, 4, 4, 134
start, RIPEMD160, 14, 1, 14, 11017, 1, 1, 11017
start, RIPEMD160, 14, 2, 5, 15193, 1, 1, 15193
start, RIPEMD160, 14, 3, 3, 16296, 1, 1, 16296
start, RIPEMD160, 14, 4, 2, 16383, 1, 1, 16383
start, Skein256, 10, 0, 35, 54, 7, 1, 1
start, Skein256, 10, 0, 35, 54, 7, 2, 2
start, Skein256, 10, 0, 35, 54, 7, 3, 4
start, Skein256, 10, 0, 35, 54, 7, 4, 6
start, Skein256, 10, 0, 35, 54, 7, 5, 7
start, Skein256, 10, 0, 35, 54, 7, 6, 16
start, Skein256, 10, 0, 35, 54, 7, 7, 18
start, Skein256, 10, 1, 8, 706, 3, 1, 1
start, Skein256, 10, 1, 8, 706, 3, 2, 1
start, Skein256, 10, 1, 8, 706, 3, 3, 704
start, Skein256, 10, 2, 4, 955, 1, 1, 955
start, Skein256, 10, 3, 2, 1021, 1, 1, 1021
start, Skein256, 10, 4, 2, 1024, 1, 1, 1024
start, Skein256, 12, 0, 77, 164, 4, 1, 7
start, Skein256, 12, 0, 77, 164, 4, 2, 9
start, Skein256, 12, 0, 77, 164, 4, 3, 13
start, Skein256, 12, 0, 77, 164, 4, 4, 135
start, Skein256, 12, 1, 9, 2748, 1, 1, 2748
start, Skein256, 12, 2, 5, 3825, 1, 1, 3825
start, Skein256, 12, 3, 2, 4081, 1, 1, 4081
start, Skein256, 12, 4, 2, 4096, 1, 1, 4096
start, Skein256, 14, 0, 177, 256, 5, 1, 4
start, Skein256, 14, 0, 177, 256, 5, 2, 4
start, Skein256, 14, 0, 177, 256, 5, 3, 27
start, Skein256, 14, 0, 177, 256, 5, 4, 99
start, Skein256, 14, 0, 177, 256, 5, 5, 122
start, Skein256, 14, 1, 10, 11011, 1, 1, 11011
start, Skein256, 14, 2, 5, 15190, 1, 1, 15190
start, Skein256, 14, 3, 3, 16299, 1, 1, 16299
start, Skein256, 14, 4, 2, 16384, 1, 1, 16384
start, MD5, 10, 0, 48, 35, 5, 1, 1
start, MD5, 10, 0, 48, 35, 5, 2, 1
start, MD5, 10, 0, 48, 35, 5, 3, 3
start, MD5, 10, 0, 48, 35, 5, 4, 13
start, MD5, 10, 0, 48, 35, 5, 5, 17
start, MD5, 10, 1, 8, 705, 2, 1, 1
start, MD5, 10, 1, 8, 705, 2, 2, 704
start, MD5, 10, 2, 4, 939, 1, 1, 939
start, MD5, 10, 3, 2, 1019, 1, 1, 1019
start, MD5, 10, 4, 2, 1024, 1, 1, 1024
start, MD5, 12, 0, 119, 82, 7, 1, 1
start, MD5, 12, 0, 119, 82, 7, 2, 2
start, MD5, 12, 0, 119, 82, 7, 3, 2
start, MD5, 12, 0, 119, 82, 7, 4, 3
start, MD5, 12, 0, 119, 82, 7, 5, 4
start, MD5, 12, 0, 119, 82, 7, 6, 12
start, MD5, 12, 0, 119, 82, 7, 7, 58
start, MD5, 12, 1, 8, 2758, 1, 1, 2758
start, MD5, 12, 2, 4, 3804, 1, 1, 3804
start, MD5, 12, 3, 3, 4075, 1, 1, 4075
start, MD5, 12, 4, 2, 4096, 1, 1, 4096
start, MD5, 14, 0, 218, 173, 6, 1, 5
start, MD5, 14, 0, 218, 173, 6, 2, 6
start, MD5, 14, 0, 218, 173, 6, 3, 22
start, MD5, 14, 0, 218, 173, 6, 4, 26
start, MD5, 14, 0, 218, 173, 6, 5, 32
start, MD5, 14, 0, 218, 173, 6, 6, 82
start, MD5, 14, 1, 9, 11085, 4, 1, 1
start, MD5, 14, 1, 9, 11085, 4, 2, 1
start, MD5, 14, 1, 9, 11085, 4, 3, 2
start, MD5, 14, 1, 9, 11085, 4, 4, 11081
start, MD5, 14, 2, 5, 15236, 1, 1, 15236
start, MD5, 14, 3, 3, 16305, 1, 1, 16305
start, MD5, 14, 4, 2, 16383, 1, 1, 16383
start, SHA-1, 10, 0, 68, 33, 5, 1, 1
start, SHA-1, 10, 0, 68, 33, 5, 2, 1
start, SHA-1, 10, 0, 68, 33, 5, 3, 3
start, SHA-1, 10, 0, 68, 33, 5, 4, 3
start, SHA-1, 10, 0, 68, 33, 5, 5, 25
start, SHA-1, 10, 1, 6, 705, 1, 1, 705
start, SHA-1, 10, 2, 3, 954, 1, 1, 954
start, SHA-1, 10, 3, 2, 1021, 1, 1, 1021
start, SHA-1, 10, 4, 2, 1024, 1, 1, 1024
start, SHA-1, 12, 0, 163, 108, 5, 1, 1
start, SHA-1, 12, 0, 163, 108, 5, 2, 2
start, SHA-1, 12, 0, 163, 108, 5, 3, 3
start, SHA-1, 12, 0, 163, 108, 5, 4, 3
start, SHA-1, 12, 0, 163, 108, 5, 5, 99
start, SHA-1, 12, 1, 12, 2732, 4, 1, 1
start, SHA-1, 12, 1, 12, 2732, 4, 2, 1
start, SHA-1, 12, 1, 12, 2732, 4, 3, 1
start, SHA-1, 12, 1, 12, 2732, 4, 4, 2729
start, SHA-1, 12, 2, 5, 3810, 1, 1, 3810
start, SHA-1, 12, 3, 3, 4082, 1, 1, 4082
start, SHA-1, 12, 4, 2, 4096, 1, 1, 4096
start, SHA-1, 14, 0, 224, 67, 6, 1, 1
start, SHA-1, 14, 0, 224, 67, 6, 2, 2
start, SHA-1, 14, 0, 224, 67, 6, 3, 4
start, SHA-1, 14, 0, 224, 67, 6, 4, 5
start, SHA-1, 14, 0, 224, 67, 6, 5, 10
start, SHA-1, 14, 0, 224, 67, 6, 6, 45
start, SHA-1, 14, 1, 9, 11221, 1, 1, 11221
start, SHA-1, 14, 2, 5, 15232, 1, 1, 15232
start, SHA-1, 14, 3, 3, 16303, 1, 1, 16303
start, SHA-1, 14, 4, 2, 16383, 1, 1, 16383
start, SHA256, 10, 0, 30, 40, 6, 1, 1
start, SHA256, 10, 0, 30, 40, 6, 2, 1
start, SHA256, 10, 0, 30, 40, 6, 3, 1
start, SHA256, 10, 0, 30, 40, 6, 4, 2
start, SHA256, 10, 0, 30, 40, 6, 5, 4
start, SHA256, 10, 0, 30, 40, 6, 6, 31
start, SHA256, 10, 1, 9, 673, 2, 1, 1
start, SHA256, 10, 1, 9, 673, 2, 2, 672
start, SHA256, 10, 2, 4, 949, 1, 1, 949
start, SHA256, 10, 3, 2, 1017, 1, 1, 1017
start, SHA256, 10, 4, 2, 1024, 1, 1, 1024
start, SHA256, 12, 0, 69, 139, 6, 1, 2
start, SHA256, 12, 0, 69, 139, 6, 2, 3
start, SHA256, 12, 0, 69, 139, 6, 3, 9
start, SHA256, 12, 0, 69, 139, 6, 4, 22
start, SHA256, 12, 0, 69, 139, 6, 5, 33
start, SHA256, 12, 0, 69, 139, 6, 6, 70
start, SHA256, 12, 1, 7, 2808, 1, 1, 2808
start, SHA256, 12, 2, 4, 3829, 1, 1, 3829
start, SHA256, 12, 3, 2, 4077, 1, 1, 4077
start, SHA256, 12, 4, 2, 4096, 1, 1, 4096
start, SHA256, 14, 0, 228, 108, 3, 1, 22
start, SHA256, 14, 0, 228, 108, 3, 2, 33
start, SHA256, 14, 0, 228, 108, 3, 3, 53
start, SHA256, 14, 1, 10, 11097, 3, 1, 1
start, SHA256, 14, 1, 10, 11097, 3, 2, 1
start, SHA256, 14, 1, 10, 11097, 3, 3, 11095
start, SHA256, 14, 2, 6, 15229, 1, 1, 15229
start, SHA256, 14, 3, 3, 16320, 1, 1, 16320
start, SHA256, 14, 4, 2, 16384, 1, 1, 16384
